0.00e+00, -9.373436719e-05, -9.373436719e-05, -9.373436719e-05, -1.874687344e-04
1.00e-01, -9.302313465e-03, -9.302313465e-03, -9.302313465e-03, -1.860462693e-02
2.00e-01, -1.815975288e-02, -1.815975288e-02, -1.815975288e-02, -3.631950576e-02
3.00e-01, -2.663544941e-02, -2.663544941e-02, -2.663544941e-02, -5.327089883e-02
4.00e-01, -3.470711516e-02, -3.470711516e-02, -3.470711516e-02, -6.941423033e-02
5.00e-01, -4.236049917e-02, -4.236049917e-02, -4.236049917e-02, -8.472099834e-02
6.00e-01, -4.958881524e-02, -4.958881524e-02, -4.958881524e-02, -9.917763048e-02
7.00e-01, -5.639195593e-02, -5.639195593e-02, -5.639195592e-02, -1.127839118e-01
8.00e-01, -6.277557297e-02, -6.277557300e-02, -6.277557293e-02, -1.255511459e-01
9.00e-01, -6.875009706e-02, -6.875009713e-02, -6.875009697e-02, -1.375001941e-01
1.00e+00, -7.432975900e-02, -7.432975910e-02, -7.432975886e-02, -1.486595180e-01
1.10e+00, -7.953166019e-02, -7.953166031e-02, -7.953166001e-02, -1.590633203e-01
1.20e+00, -8.437492564e-02, -8.437492577e-02, -8.437492540e-02, -1.687498512e-01
1.30e+00, -8.887995949e-02, -8.887995963e-02, -8.887995921e-02, -1.777599189e-01
1.40e+00, -9.306781209e-02, -9.306781222e-02, -9.306781176e-02, -1.861356240e-01
1.50e+00, -9.695965888e-02, -9.695965900e-02, -9.695965849e-02, -1.939193176e-01
1.60e+00, -1.005763856e-01, -1.005763857e-01, -1.005763851e-01, -2.011527709e-01
1.70e+00, -1.039382698e-01, -1.039382699e-01, -1.039382694e-01, -2.078765394e-01
1.80e+00, -1.070647481e-01, -1.070647481e-01, -1.070647475e-01, -2.141294958e-01
1.90e+00, -1.099742553e-01, -1.099742554e-01, -1.099742547e-01, -2.199485103e-01
2.00e+00, -1.126841211e-01, -1.126841212e-01, -1.126841206e-01, -2.253682419e-01
2.10e+00, -1.152105170e-01, -1.152105171e-01, -1.152105164e-01, -2.304210337e-01
2.20e+00, -1.175684424e-01, -1.175684426e-01, -1.175684418e-01, -2.351368845e-01
2.30e+00, -1.197717385e-01, -1.197717387e-01, -1.197717379e-01, -2.395434768e-01
2.40e+00, -1.218331234e-01, -1.218331236e-01, -1.218331227e-01, -2.436662465e-01
2.50e+00, -1.237642424e-01, -1.237642424e-01, -1.237642415e-01, -2.475284842e-01
2.60e+00, -1.255757280e-01, -1.255757280e-01, -1.255757270e-01, -2.511514553e-01
2.70e+00, -1.272772666e-01, -1.272772665e-01, -1.272772655e-01, -2.545545324e-01
2.80e+00, -1.288776672e-01, -1.288776670e-01, -1.288776659e-01, -2.577553334e-01
2.90e+00, -1.303849308e-01, -1.303849305e-01, -1.303849294e-01, -2.607698605e-01
3.00e+00, -1.318063186e-01, -1.318063181e-01, -1.318063170e-01, -2.636126358e-01
3.10e+00, -1.331484172e-01, -1.331484166e-01, -1.331484154e-01, -2.662968328e-01
3.20e+00, -1.344172010e-01, -1.344172003e-01, -1.344171990e-01, -2.688344002e-01
3.30e+00, -1.356180903e-01, -1.356180895e-01, -1.356180882e-01, -2.712361787e-01
3.40e+00, -1.367560054e-01, -1.367560045e-01, -1.367560032e-01, -2.735120087e-01
3.50e+00, -1.378354159e-01, -1.378354149e-01, -1.378354136e-01, -2.756708296e-01
3.60e+00, -1.388603864e-01, -1.388603852e-01, -1.388603839e-01, -2.777207704e-01
3.70e+00, -1.398346174e-01, -1.398346161e-01, -1.398346148e-01, -2.796692322e-01
3.80e+00, -1.407614830e-01, -1.407614816e-01, -1.407614803e-01, -2.815229633e-01
3.90e+00, -1.416440642e-01, -1.416440627e-01, -1.416440614e-01, -2.832881255e-01
4.00e+00, -1.424851791e-01, -1.424851775e-01, -1.424851762e-01, -2.849703552e-01
4.10e+00, -1.432874100e-01, -1.432874082e-01, -1.432874069e-01, -2.865748167e-01
4.20e+00, -1.440531272e-01, -1.440531253e-01, -1.440531240e-01, -2.881062510e-01
4.30e+00, -1.447845109e-01, -1.447845090e-01, -1.447845077e-01, -2.895690184e-01
4.40e+00, -1.454835701e-01, -1.454835681e-01, -1.454835668e-01, -2.909671367e-01
4.50e+00, -1.461521595e-01, -1.461521574e-01, -1.461521560e-01, -2.923043153e-01
4.60e+00, -1.467919946e-01, -1.467919925e-01, -1.467919910e-01, -2.935839854e-01
4.70e+00, -1.474046654e-01, -1.474046632e-01, -1.474046616e-01, -2.948093268e-01
4.80e+00, -1.479916480e-01, -1.479916458e-01, -1.479916441e-01, -2.959832919e-01
4.90e+00, -1.485543153e-01, -1.485543131e-01, -1.485543112e-01, -2.971086264e-01
5.00e+00, -1.490939462e-01, -1.490939440e-01, -1.490939421e-01, -2.981878882e-01
5.10e+00, -1.496117343e-01, -1.496117322e-01, -1.496117301e-01, -2.992234644e-01
5.20e+00, -1.501087950e-01, -1.501087930e-01, -1.501087907e-01, -3.002175858e-01
5.30e+00, -1.505861724e-01, -1.505861703e-01, -1.505861680e-01, -3.011723405e-01
5.40e+00, -1.510448448e-01, -1.510448428e-01, -1.510448403e-01, -3.020896852e-01
5.50e+00, -1.514857305e-01, -1.514857285e-01, -1.514857259e-01, -3.029714566e-01
5.60e+00, -1.519096922e-01, -1.519096903e-01, -1.519096875e-01, -3.038193800e-01
5.70e+00, -1.523175416e-01, -1.523175396e-01, -1.523175368e-01, -3.046350787e-01
5.80e+00, -1.527100427e-01, -1.527100407e-01, -1.527100378e-01, -3.054200807e-01
5.90e+00, -1.530879157e-01, -1.530879137e-01, -1.530879107e-01, -3.061758268e-01
6.00e+00, -1.534518402e-01, -1.534518382e-01, -1.534518350e-01, -3.069036756e-01
6.10e+00, -1.538024576e-01, -1.538024555e-01, -1.538024523e-01, -3.076049103e-01
6.20e+00, -1.541403740e-01, -1.541403719e-01, -1.541403686e-01, -3.082807431e-01
